Symbol,Name
AACG,ATA Creativity Global American Depositary Shares
AACQ,Artius Acquisition Inc. Class A Common Stock
AACQU,Artius Acquisition Inc. Unit 
AACQW,Artius Acquisition Inc Warrant
AAL,American Airlines Group Inc. Common Stock
AAME,Atlantic American Corporation Common Stock
AAOI,Applied Optoelectronics Inc. Common Stock
AAON,AAON Inc. Common Stock
AAPL,Apple Inc. Common Stock
AAWW,Atlas Air Worldwide Holdings NEW Common Stock
AAXN,Axon Enterprise Inc. Common Stock
ABCB,Ameris Bancorp Common Stock
ABCL,AbCellera Biologics Inc. Common Shares
ABCM,Abcam plc American Depositary Shares
ABEO,Abeona Therapeutics Inc. Common Stock
ABIO,ARCA biopharma Inc. Common Stock
ABMD,ABIOMED Inc. Common Stock
ABNB,Airbnb Inc. Class A Common Stock
ABST,Absolute Software Corporation Common Stock
ABTX,Allegiance Bancshares Inc. Common Stock
ABUS,Arbutus Biopharma Corporation Common Stock
ACAC,Acies Acquisition Corp. Class A Ordinary Share
ACACU,Acies Acquisition Corp. Unit
ACACW,Acies Acquisition Corp. Warrant
ACAD,ACADIA Pharmaceuticals Inc. Common Stock
ACBI,Atlantic Capital Bancshares Inc. Common Stock
ACCD,Accolade Inc. Common Stock
ACER,Acer Therapeutics Inc. Common Stock (DE)
ACET,Adicet Bio Inc. Common Stock 
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares
ACEVU,ACE Convergence Acquisition Corp. Unit
ACEVW,ACE Convergence Acquisition Corp. Warrant
ACGL,Arch Capital Group Ltd. Common Stock
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs
ACHC,Acadia Healthcare Company Inc. Common Stock
ACHV,Achieve Life Sciences Inc. Common Shares
ACIA,Acacia Communications Inc. Common Stock
ACIU,AC Immune SA Common Stock
ACIW,ACI Worldwide Inc. Common Stock
ACKIU,Ackrell SPAC Partners I Co. Units
ACLS,Axcelis Technologies Inc. Common Stock
ACMR,ACM Research Inc. Class A Common Stock
ACNB,ACNB Corporation Common Stock
ACOR,Acorda Therapeutics Inc. Common Stock
ACRS,Aclaris Therapeutics Inc. Common Stock
ACRX,AcelRx Pharmaceuticals Inc. Common Stock
ACST,Acasti Pharma Inc. Class A Common Stock
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares
ACTCU,ArcLight Clean Transition Corp. Unit
ACTCW,ArcLight Clean Transition Corp. Warrant
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock
ADAP,Adaptimmune Therapeutics plc American Depositary Shares
ADBE,Adobe Inc. Common Stock
ADERU,26 Capital Acquisition Corp. Unit
ADES,Advanced Emissions Solutions Inc. Common Stock
ADI,Analog Devices Inc. Common Stock
ADIL,Adial Pharmaceuticals Inc Common Stock
ADILW,Adial Pharmaceuticals Inc Warrant
ADMA,ADMA Biologics Inc Common Stock
ADMP,Adamis Pharmaceuticals Corporation Common Stock
ADMS,Adamas Pharmaceuticals Inc. Common Stock
ADOC,Edoc Acquisition Corp. Class A Ordinary Share
ADOCR,Edoc Acquisition Corp. Right
ADOCW,Edoc Acquisition Corp. Warrant
ADP,Automatic Data Processing Inc. Common Stock
ADPT,Adaptive Biotechnologies Corporation Common Stock
ADSK,Autodesk Inc. Common Stock
ADTN,ADTRAN Inc. Common Stock
ADTX,ADiTx Therapeutics Inc. Common Stock
ADUS,Addus HomeCare Corporation Common Stock
ADV,Advantage Solutions Inc. Class A Common Stock
ADVM,Adverum Biotechnologies Inc. Common Stock
ADVWW,Advantage Solutions Inc. Warrant
ADXN,Addex Therapeutics Ltd American Depositary Shares
ADXS,Advaxis Inc. Common Stock
AEACU,Authentic Equity Acquisition Corp. Unit
AEGN,Aegion Corp Common Stock
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par)
AEHR,Aehr Test Systems Common Stock
AEIS,Advanced Energy Industries Inc. Common Stock
AEMD,Aethlon Medical Inc. Common Stock
AEP,American Electric Power Company Inc. Common Stock
AEPPL,American Electric Power Company Inc. Corporate Unit
AEPPZ,American Electric Power Company Inc. Corporate Units
AERI,Aerie Pharmaceuticals Inc. Common Stock
AESE,Allied Esports Entertainment Inc. Common Stock
AEY,ADDvantage Technologies Group Inc. Common Stock
AEYE,AudioEye Inc. Common Stock
AEZS,Aeterna Zentaris Inc. Common Stock
AFBI,Affinity Bancshares Inc. Common Stock (MD)
AFIB,Acutus Medical Inc. Common Stock
AFIN,American Finance Trust Inc. Class A Common Stock
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock
AFMD,Affimed N.V.
AFRM,Affirm Holdings Inc. Class A Common Stock
AFYA,Afya Limited Class A Common Shares
AGBA,AGBA Acquisition Limited Ordinary Share
AGBAR,AGBA Acquisition Limited Right
AGBAU,AGBA Acquisition Limited Unit
AGBAW,AGBA Acquisition Limited Warrant
AGC,Altimeter Growth Corp. Class A Ordinary Shares
AGCUU,Altimeter Growth Corp. Unit
AGCWW,Altimeter Growth Corp. Warrant
AGEN,Agenus Inc. Common Stock
AGFS,AgroFresh Solutions Inc. Common Stock
AGFY,Agrify Corporation
AGIO,Agios Pharmaceuticals Inc. Common Stock
AGLE,Aeglea BioTherapeutics Inc. Common Stock
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares
AGNC,AGNC Investment Corp. Common Stock
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
AGRX,Agile Therapeutics Inc. Common Stock
AGTC,Applied Genetic Technologies Corporation Common Stock
AGYS,Agilysys Inc. Common Stock
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock
AHACU,Alpha Healthcare Acquisition Corp. Unit
AHACW,Alpha Healthcare Acquisition Corp. Warrant
AHCO,AdaptHealth Corp. Class A Common Stock
AHPI,Allied Healthcare Products Inc. Common Stock
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares
AIHS,Senmiao Technology Limited Common Stock
AIKI,AIkido Pharma Inc. Common Stock
AIMC,Altra Industrial Motion Corp. Common Stock
AINV,Apollo Investment Corporation Common Stock
AIRG,Airgain Inc. Common Stock
AIRT,Air T Inc. Common Stock
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021
AKAM,Akamai Technologies Inc. Common Stock
AKBA,Akebia Therapeutics Inc. Common Stock
AKER,Akers Biosciences Inc. Common Stock
